"idpig" "Line" "Diet" "Block" "Blockorder" "Concb" "RINb" "Conca" "RINa" "RFI" "iddam" "idsire" "neut" "lymp" "mono" "eosi" "baso" "lneut" "llymp" "lmono" "leosi" "lbaso"
"7" 3409 "2" "1" "1" "7" 216.33 9.7 76 8.8 -0.180054283 "9" "2" 4.28 8.3 0.52 0.12 0.04 1.45395300959371 2.11625551480255 -0.653926467406664 -2.12026353620009 -3.2188758248682
"10" 3609 "1" "1" "2" "3" 945.81 8.9 215 7.8 -0.727033892 "2" "1" 7.2 11.05 1.44 0.43 0.08 1.97408102602201 2.40243042796376 0.364643113587909 -0.843970070294529 -2.52572864430826
"14" 3610 "1" "2" "2" "7" 460.23 9.3 184 8.5 -0.265634787 "2" "1" 8.04 10.8 0.88 0.58 0.04 2.08442908319087 2.37954613413017 -0.127833371509885 -0.544727175441672 -3.2188758248682
"21" 3703 "2" "1" "3" "6" 551.73 9.1 185 8.3 -0.257711095 "3" "8" 6.7 9.58 0.6 0.53 0.07 1.90210752639692 2.25967759198277 -0.510825623765991 -0.63487827243597 -2.65926003693278
"8" 3811 "1" "2" "2" "1" 289.8 8.8 106 7.7 -0.324666582 "5" "10" 7.06 8.29 0.81 0.61 0.03 1.95444505150515 2.1150499691472 -0.210721031315653 -0.49429632181478 -3.50655789731998
"31" 3910 "1" "1" "4" "8" 692.07 9.1 182 8 -0.749226084 "10" "11" 6.29 12.42 0.96 0.35 0.08 1.83896107071235 2.51930807650533 -0.0408219945202552 -1.04982212449868 -2.52572864430826
"19" 3912 "1" "2" "3" "4" 429.87 8.9 194 8.1 -0.373631513 "10" "11" 9.06 8.84 0.89 0.69 0.04 2.20386912005489 2.17928687664955 -0.116533816255952 -0.371063681390832 -3.2188758248682
"24" 4007 "2" "1" "4" "1" 1116.84 9.2 145 8.2 -0.233320559 "15" "7" 2.79 11.21 1.09 0.33 0.05 1.02604159583327 2.41680623708407 0.0861776962410524 -1.10866262452161 -2.99573227355399
"25" 4110 "1" "1" "4" "2" 311.43 9.5 121 8.3 -0.695965967 "12" "6" 5.59 5.66 0.44 0.36 0.02 1.72097928716701 1.73342389221509 -0.82098055206983 -1.02165124753198 -3.91202300542815
"6" 4111 "1" "2" "1" "6" 422.07 8.8 157 8.2 -0.488292815 "12" "6" 2.73 5.73 0.35 0.22 0.04 1.00430160919687 1.74571553072665 -1.04982212449868 -1.51412773262978 -3.2188758248682
"20" 4208 "1" "1" "3" "5" 276.03 9.1 114 8.5 -0.720450526 "18" "1" 2.89 5.22 0.42 0.28 0.02 1.06125650212434 1.65249740189455 -0.867500567704723 -1.27296567581289 -3.91202300542815
"12" 4210 "1" "1" "2" "5" 1079.55 9.1 212 8.5 -0.75039081 "18" "1" 6.98 4.67 0.37 0.16 0.01 1.94304891677428 1.54115907168081 -0.994252273343867 -1.83258146374831 -4.60517018598809
"28" 4213 "1" "2" "4" "5" 749.85 9.8 169 8.7 -0.550666746 "18" "1" 3.98 4.85 0.24 0.12 0.05 1.38128181929635 1.57897870494939 -1.42711635564015 -2.12026353620009 -2.99573227355399
"29" 4303 "2" "2" "4" "6" 1136.82 8.9 174 8.1 0.287882551 "1" "8" 6.7 14.89 1.31 0.79 0.05 1.90210752639692 2.70068984669592 0.27002713721306 -0.23572233352107 -2.99573227355399
"17" 4406 "1" "1" "3" "2" 971.58 9.1 149 8.7 -0.82458813 "4" "1" 5.43 7.72 0.57 0.52 0.03 1.69193913394584 2.04381436403668 -0.562118918153541 -0.653926467406664 -3.50655789731998
"26" 4410 "1" "2" "4" "3" 644.79 9.2 171 7.9 -0.599801391 "4" "1" 10.18 8.01 0.5 0.25 0.02 2.32042501112238 2.08069076108027 -0.693147180559945 -1.38629436111989 -3.91202300542815
"4" 4506 "2" "1" "1" "4" 675.75 8.8 146 8.2 -0.34526312 "11" "4" 6.35 8.46 0.59 0.29 0.03 1.8484548129046 2.13534917361813 -0.527632742082372 -1.23787435600162 -3.50655789731998
"5" 4611 "2" "2" "1" "5" 800.79 9.6 154 8.4 0.231320752 "13" "9" 3.73 4.73 0.35 0.18 0.02 1.31640823365572 1.55392520250384 -1.04982212449868 -1.71479842809193 -3.91202300542815
"22" 4907 "1" "2" "3" "7" 1006.08 8.7 197 8.2 -0.57438963 "6" "10" 6.41 6.37 0.53 0.46 0.03 1.85785927093258 1.85159946958407 -0.63487827243597 -0.776528789498996 -3.50655789731998
"18" 5209 "2" "2" "3" "3" 1106.22 8.9 198 8.5 0.458283413 "19" "5" 3.97 4.82 0.37 0.15 0.03 1.3787660946991 1.57277392806251 -0.994252273343867 -1.89711998488588 -3.50655789731998
"30" 5210 "2" "1" "4" "7" 892.98 9.2 180 7.9 -0.12251007 "19" "5" 3.39 6.78 0.69 0.46 0.05 1.22082992139236 1.9139771019523 -0.371063681390832 -0.776528789498996 -2.99573227355399
"3" 5307 "1" "1" "1" "3" 976.02 8.6 185 8.3 -0.742993414 "17" "11" 5.6 5.98 0.24 0.27 0.02 1.7227665977411 1.78842056796254 -1.42711635564015 -1.30933331998376 -3.91202300542815
"23" 5404 "2" "2" "3" "8" 1697.94 8.7 141 8.6 0.716741351 "14" "5" 2.91 6.23 0.64 0.33 0.03 1.0681530811834 1.82937633279936 -0.446287102628419 -1.10866262452161 -3.50655789731998
"16" 5405 "2" "1" "3" "1" 1255.77 9 180 8.1 -0.18818882 "14" "5" 3.63 10.42 0.55 0.24 0.06 1.28923264827676 2.34372703632522 -0.59783700075562 -1.42711635564015 -2.81341071676004
"15" 5407 "2" "2" "2" "8" 594.96 8.7 173 8.3 0.331622566 "14" "5" 3.95 5.54 0.36 0.25 0.02 1.37371557891303 1.71199450075919 -1.02165124753198 -1.38629436111989 -3.91202300542815
"9" 5409 "2" "2" "2" "2" 362.91 9.3 155 8.5 0.185151791 "14" "5" 3.08 4.28 0.28 0.24 0.02 1.12492959698548 1.45395300959371 -1.27296567581289 -1.42711635564015 -3.91202300542815
