GeneID	3409	3609	3610	3703	3811	3910	3912	4007	4110	4111	4208	4210	4213	4303	4406	4410	4506	4611	4907	5209	5210	5307	5404	5405	5407	5409	5604	5815	6106	6206	6207
ENSSSCG00000000001	3	3	3	7	4	1	8	2	0	6	3	2	4	4	6	6	16	2	8	5	1	2	4	6	3	7	7	1	1	9	5
ENSSSCG00000000002	24	246	105	146	100	56	98	63	38	121	100	51	71	77	49	90	132	62	57	57	52	57	65	49	58	86	202	43	38	154	32
ENSSSCG00000000003	323	857	782	715	591	321	828	346	363	613	784	457	514	645	650	1176	1985	527	396	613	386	451	563	563	660	873	1176	287	359	1152	444
ENSSSCG00000000004	0	0	0	0	1	1	1	2	2	1	0	0	2	1	0	0	2	1	0	1	0	1	0	0	0	1	2	0	0	2	1
ENSSSCG00000000005	68	206	138	187	124	90	166	66	62	140	211	60	107	115	83	195	330	100	66	89	85	99	101	109	111	183	216	60	82	221	62
ENSSSCG00000000006	1	2	2	1	3	1	5	1	0	0	0	2	4	3	1	5	2	1	1	2	2	4	4	3	6	2	2	4	2	3	1
ENSSSCG00000000007	105	261	195	237	230	90	234	127	115	245	374	129	184	292	162	325	657	149	203	155	114	148	138	153	174	252	386	131	132	319	119
ENSSSCG00000000010	3	19	20	22	11	2	14	11	26	46	31	5	32	7	25	32	64	54	12	18	15	14	28	18	15	14	37	25	15	24	9
ENSSSCG00000000011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000013	0	1	0	0	0	1	0	1	1	1	1	1	0	0	2	0	5	1	0	1	0	3	0	0	2	2	1	2	5	3	2
ENSSSCG00000000014	79	246	217	201	219	67	256	88	61	183	195	136	113	131	155	218	431	138	199	146	69	128	143	142	194	245	252	134	119	261	113
ENSSSCG00000000015	1	8	2	2	4	5	11	1	0	3	3	3	1	3	1	1	14	3	2	2	1	2	2	2	4	3	7	3	0	8	1
ENSSSCG00000000016	0	1	3	1	0	0	2	1	0	0	1	2	2	0	2	3	2	2	0	2	1	0	0	0	1	2	1	0	0	2	0
ENSSSCG00000000017	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000018	167	781	681	576	534	173	892	299	170	450	621	452	339	421	563	577	1130	459	441	530	271	330	579	435	560	801	637	493	464	738	382
ENSSSCG00000000019	185	841	453	548	456	198	513	342	192	554	505	585	550	466	384	562	1189	654	498	570	377	386	554	360	586	497	844	537	637	822	583
ENSSSCG00000000020	1	0	2	2	1	2	2	0	0	1	0	2	1	1	0	1	1	0	0	1	0	0	0	0	0	2	0	0	2	4	0
ENSSSCG00000000021	1	4	4	10	7	8	12	6	2	6	5	4	5	4	3	5	13	11	3	6	2	5	9	7	5	4	31	1	2	15	1
ENSSSCG00000000022	32	110	100	78	97	33	99	52	32	85	112	58	49	73	71	121	213	56	91	71	60	56	62	80	116	124	122	46	59	106	42
ENSSSCG00000000023	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0
ENSSSCG00000000024	472	2161	2143	3604	2123	999	1987	3002	1673	2737	2996	2716	2213	2081	3133	3356	11901	1806	2714	4786	2157	1737	1150	1480	2232	3324	5724	2335	2880	1838	2007
ENSSSCG00000000025	729	3976	3049	2559	3060	1138	3692	1394	936	2520	3130	1596	1671	2390	1405	2565	4839	1561	1784	1611	1265	1616	1668	1551	1950	2584	3535	1411	1189	3522	1514
ENSSSCG00000000026	0	0	2	0	0	0	3	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
